Region,Year,Total Deaths Rate (in Thousands),,,,,,,,,,,Total Population (in Thousands),,,,,,,,,,
,,0 - 9, 10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70-79,80-89,90-99,Total,0 - 9,10 to 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 - 99,Total
Europe,2010,   25,   783,  3 628,  2 586,  7 786,  7 381,  12 560,  5 439,  3 397,   854,  44 439,  170 728,  297 887, 1 679 075,  675 132,  441 373,  263 314,  281 338,  142 665,  43 772,  3 610, 3 998 893
Europe,2011,   20,   715,  3 444,  2 465,  7 613,  7 241,  12 346,  5 369,  3 409,   891,  43 515,  171 502,  296 615, 1 686 822,  676 078,  442 893,  267 182,  285 191,  145 317,  45 473,  3 950, 4 021 022
Europe,2012,   20,   679,  3 351,  2 433,  7 727,  7 374,  12 642,  5 507,  3 572,   979,  44 284,  172 320,  295 908, 1 694 040,  676 314,  445 078,  271 017,  290 124,  147 646,  46 984,  4 269, 4 043 700
Europe,2013,   19,   651,  3 272,  2 420,  7 676,  7 338,  12 603,  5 466,  3 583,  1 019,  44 047,  172 949,  295 775, 1 700 106,  676 117,  447 593,  274 753,  295 281,  149 594,  48 257,  4 560, 4 064 984
Europe,2014,   18,   640,  3 232,  2 435,  7 636,  7 304,  12 557,  5 411,  3 569,  1 053,  43 855,  173 469,  296 238, 1 705 431,  675 387,  449 965,  278 447,  300 798,  151 542,  49 529,  4 864, 4 085 669
Europe,2015,   18,   606,  3 153,  2 455,  7 862,  7 541,  13 055,  5 607,  3 761,  1 166,  45 224,  174 152,  297 295, 1 710 777,  674 769,  452 379,  281 938,  306 628,  153 349,  50 893,  5 161, 4 107 341
Europe,2016,   17,   576,  3 052,  2 437,  7 756,  7 445,  12 912,  5 507,  3 717,  1 180,  44 599,  174 900,  298 654, 1 715 668,  674 055,  454 012,  285 113,  312 304,  155 328,  52 347,  5 461, 4 127 840
Europe,2017,   17,   546,  2 922,  2 377,  7 817,  7 520,  13 138,  5 618,  3 856,  1 269,  45 078,  175 035,  299 654, 1 719 731,  672 514,  454 291,  288 163,  318 069,  157 741,  53 913,  5 758, 4 144 868
Europe,2018,   16,   544,  2 924,  2 403,  7 919,  7 619,  13 334,  5 693,  3 940,  1 321,  45 713,  174 192,  300 040, 1 723 473,  670 441,  454 040,  291 152,  323 825,  159 966,  55 393,  6 040, 4 158 562
Europe,2019,   15,   537,  2 880,  2 388,  7 881,  7 583,  13 293,  5 666,  3 936,  1 343,  45 522,  172 823,  300 067, 1 726 926,  667 717,  453 270,  294 157,  329 797,  162 450,  56 863,  6 340, 4 170 409
