Entity,Year,Meningitis,Neoplasms,Malaria,Drowning ,Interpersonal_violence,HIV,Drug_use_disorders ,Road_injuries,Maternal_disorders,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Alcohol_use_disorders ,Diarrheal ,Nutritional_deficiencies,Self-harm,Diabetes_mellitus,Poisonings,Cardiovascular ,Kidney_disease ,Respiratory_diseases,Liver_diseases ,Digestive_diseases ,Alzheimer_disease ,Parkinson_disease ,Total_death_per_year
Peru,2019,143,33395,19,688,1142,2401,166,4755,486,18179,342,1222,1300,1016,4761,147,29215,8044,6961,6828,11649,7144,1464,141467
Philippines,2019,2056,81321,46,4792,15570,5222,325,10945,1859,58413,1105,8392,3611,4569,27680,191,204311,33358,33229,14287,27945,10473,2429,552129
Poland,2019,135,122080,0,784,617,134,211,3853,14,11910,4380,265,125,6578,8124,223,174736,4695,11349,8565,18145,18469,3433,398825
Portugal,2019,36,31651,0,94,166,482,51,957,5,8279,182,237,165,1357,4245,24,37353,4068,7052,2092,5433,6602,1327,111858
Puerto Rico,2019,9,6936,0,26,696,231,55,409,5,1267,141,96,108,249,3373,5,8823,2057,1832,1019,1654,2026,354,31371
Qatar,2019,5,831,0,38,27,4,8,737,6,70,6,6,1,131,345,7,1121,133,66,177,221,41,19,4000
Region of the Americas,2019,7319,1622270,1342,20297,173466,51057,71205,158677,9656,322980,37583,42213,33718,94784,302740,3713,2130471,321560,449174,215937,402205,306271,65407,6844045
Romania,2019,60,52590,0,630,380,142,149,2275,26,6362,545,91,75,2182,2419,314,150427,3043,8106,10386,14626,8874,2074,265776
Russia,2019,1143,296822,0,7086,22285,18682,5877,20867,206,32972,28460,423,455,39040,18746,5805,1004931,11652,39390,46102,90887,48437,9390,1749658
Rwanda,2019,995,7143,3386,212,461,3065,19,2402,839,5641,123,3661,1142,759,1916,184,11826,1266,2520,2599,4297,772,158,55386
Saint Kitts and Nevis,2019,1,99,0,2,10,32,0,6,1,20,11,3,4,2,33,0,157,32,11,12,24,8,3,471
Saint Lucia,2019,2,304,0,9,32,7,1,26,2,54,9,4,6,13,130,0,446,71,59,33,58,41,12,1319
Saint Vincent and the Grenadines,2019,1,208,0,7,23,20,0,10,1,39,8,4,8,8,107,0,355,46,20,19,42,22,7,955
Samoa,2019,2,155,0,13,12,13,1,33,1,63,2,11,4,25,124,1,539,61,105,30,55,28,10,1288
San Marino,2019,0,117,0,0,0,1,0,3,0,8,0,0,0,4,5,0,98,4,11,8,14,20,3,296
Sao Tome and Principe,2019,5,145,12,3,11,0,1,21,6,109,2,12,7,4,15,1,273,50,79,49,66,14,5,890
Saudi Arabia,2019,180,13104,1,724,403,683,201,21316,245,4699,104,330,66,1791,2989,246,45837,6930,3723,3763,4819,1707,562,114423
Scotland,2019,25,19529,0,31,48,22,506,248,5,3226,270,147,18,671,757,15,19285,821,5261,1220,3535,2666,609,58915
Senegal,2019,1563,8211,6740,252,187,1603,20,1823,1767,6793,89,6660,425,1126,2599,217,15981,2447,2763,2365,4374,1246,334,69585
Serbia,2019,27,28444,0,100,203,48,72,729,7,1571,376,41,20,1535,3710,35,63769,2517,3865,1401,4245,2567,840,116122
Seychelles,2019,2,181,0,12,5,4,1,16,1,77,1,5,2,9,26,1,242,44,31,33,51,18,6,768
Sierra Leone,2019,1630,3801,11717,307,148,2798,10,1493,1390,7460,49,3744,1180,491,1095,178,9009,1036,1479,1192,2324,485,136,53152
Singapore,2019,5,7001,0,17,25,36,16,168,2,3471,13,36,2,464,179,3,6810,758,750,253,592,1477,237,22315
Slovakia,2019,20,13901,0,127,118,4,18,427,3,1850,218,18,10,695,831,25,26796,758,1147,1694,2989,1959,363,53971
Slovenia,2019,6,6336,0,20,19,2,28,136,1,693,209,6,2,410,357,6,7797,261,639,569,1124,1337,206,20164
Somalia,2019,4672,7993,3899,880,2578,3188,23,3476,3046,20751,143,16718,7626,1325,2620,618,18521,1878,3992,3790,6018,506,141,114402
Somaliland,2019,4672,7993,3899,880,2578,3188,23,3476,3046,20751,143,16718,7626,1325,2620,618,18521,1878,3992,3790,6018,506,141,114402
South Africa,2019,2221,54803,464,1511,19122,143851,115,19239,1379,28941,582,13500,2101,7864,27471,511,82661,12353,17827,5824,13356,6603,1300,463599
South Asia - World Bank region,2019,57399,1280775,38044,69237,64689,52427,10211,254305,70492,571508,26505,753392,48619,230017,375647,7701,3397086,296628,1384204,356592,592881,164077,56397,10158833
South Korea,2019,77,104176,2,691,746,138,119,6882,38,15635,997,991,318,14575,12862,212,77481,7979,15506,10356,17385,18451,3730,309347
S. Sudan,2019,1968,4140,5109,233,874,4391,10,991,673,7714,54,6898,2180,419,1143,166,7114,933,1331,1707,2713,456,97,51314
South-East Asia Region,2019,45101,1519162,34417,78075,54092,76749,10566,297528,57733,589025,26283,745072,55979,230453,475916,7622,4004479,332282,1494723,442740,718114,209371,66316,11571798
Southeast Asia,2019,10733,664782,1123,26786,26354,42951,3137,112800,10533,219724,4649,88175,28551,37100,230299,3613,1507668,153371,267847,186154,275492,93396,22724,4017962
"Southeast Asia, East Asia, and Oceania",2019,18219,3487894,2192,85854,40651,79804,15480,377925,13185,432824,25042,97831,46290,166322,426616,31414,6260572,364260,1403733,352027,575824,428747,103399,14836105
Southern Latin America,2019,580,126947,0,993,3886,2446,173,9177,436,42564,1463,1371,2040,7702,15479,326,141850,21693,27893,14154,27766,18346,4726,472011
Southern sub-Saharan Africa,2019,4130,74026,2748,2667,22450,188072,266,24262,2976,47489,737,21267,5645,11894,34734,1054,113283,16267,23593,9231,20516,7979,1680,636966
