Country,Year,Cause_of_Death,Number_of_Deaths
Azerbaijan,2010,Interpersonal_violence,340
Azerbaijan,2010,HIV,42
Azerbaijan,2010,Drug_use_disorders,33
Azerbaijan,2010,Road_injuries,740
Azerbaijan,2010,Maternal_disorders,47
Azerbaijan,2010,Alcohol_use_disorders,197
Azerbaijan,2010,Diarrheal,159
Azerbaijan,2010,Nutritional_deficiencies,37
Azerbaijan,2010,Self.harm,408
Azerbaijan,2010,Diabetes_mellitus,1710
Azerbaijan,2010,Poisonings,84
Azerbaijan,2010,Cardiovascular,38294
Azerbaijan,2010,Kidney_disease,1248
Azerbaijan,2010,Respiratory_diseases,1753
Azerbaijan,2010,Liver_diseases,2815
Azerbaijan,2010,Digestive_diseases,3593
Azerbaijan,2010,Alzheimer_disease,785
Azerbaijan,2010,Parkinson_disease,293
Azerbaijan,2011,Meningitis,99
Azerbaijan,2011,Neoplasms,10022
Azerbaijan,2011,Malaria,1
Azerbaijan,2011,Drowning,336
Azerbaijan,2011,Interpersonal_violence,343
Azerbaijan,2011,HIV,36
Azerbaijan,2011,Drug_use_disorders,34
Azerbaijan,2011,Road_injuries,750
Azerbaijan,2011,Maternal_disorders,46
Azerbaijan,2011,Alcohol_use_disorders,202
Azerbaijan,2011,Diarrheal,153
Azerbaijan,2011,Nutritional_deficiencies,35
Azerbaijan,2011,Self.harm,406
Azerbaijan,2011,Diabetes_mellitus,1745
Azerbaijan,2011,Poisonings,85
Azerbaijan,2011,Cardiovascular,39148
Azerbaijan,2011,Kidney_disease,1272
Azerbaijan,2011,Respiratory_diseases,1804
Azerbaijan,2011,Liver_diseases,2838
Azerbaijan,2011,Digestive_diseases,3624
Azerbaijan,2011,Alzheimer_disease,819
Azerbaijan,2011,Parkinson_disease,308
Azerbaijan,2012,Meningitis,93
Azerbaijan,2012,Neoplasms,10263
Azerbaijan,2012,Malaria,0
Azerbaijan,2012,Drowning,327
Azerbaijan,2012,Interpersonal_violence,353
Azerbaijan,2012,HIV,30
Azerbaijan,2012,Drug_use_disorders,34
Azerbaijan,2012,Road_injuries,745
Azerbaijan,2012,Maternal_disorders,44
Azerbaijan,2012,Alcohol_use_disorders,205
Azerbaijan,2012,Diarrheal,146
Azerbaijan,2012,Nutritional_deficiencies,34
Azerbaijan,2012,Self.harm,398
Azerbaijan,2012,Diabetes_mellitus,1790
Azerbaijan,2012,Poisonings,85
Azerbaijan,2012,Cardiovascular,39799
Azerbaijan,2012,Kidney_disease,1291
Azerbaijan,2012,Respiratory_diseases,1847
Azerbaijan,2012,Liver_diseases,2850
Azerbaijan,2012,Digestive_diseases,3639
Azerbaijan,2012,Alzheimer_disease,832
Azerbaijan,2012,Parkinson_disease,319
Azerbaijan,2013,Meningitis,75
Azerbaijan,2013,Neoplasms,10439
Azerbaijan,2013,Malaria,0
Azerbaijan,2013,Drowning,331
Azerbaijan,2013,Interpersonal_violence,360
Azerbaijan,2013,HIV,28
Azerbaijan,2013,Drug_use_disorders,34
Azerbaijan,2013,Road_injuries,751
Azerbaijan,2013,Maternal_disorders,39
Azerbaijan,2013,Alcohol_use_disorders,206
Azerbaijan,2013,Diarrheal,144
Azerbaijan,2013,Nutritional_deficiencies,33
Azerbaijan,2013,Self.harm,394
Azerbaijan,2013,Diabetes_mellitus,1826
Azerbaijan,2013,Poisonings,85
Azerbaijan,2013,Cardiovascular,40438
Azerbaijan,2013,Kidney_disease,1309
Azerbaijan,2013,Respiratory_diseases,1884
Azerbaijan,2013,Liver_diseases,2874
Azerbaijan,2013,Digestive_diseases,3670
Azerbaijan,2013,Alzheimer_disease,857
Azerbaijan,2013,Parkinson_disease,331
Azerbaijan,2014,Meningitis,73
Azerbaijan,2014,Neoplasms,10664
Azerbaijan,2014,Malaria,0
Azerbaijan,2014,Drowning,329
Azerbaijan,2014,Interpersonal_violence,365
Azerbaijan,2014,HIV,29
Azerbaijan,2014,Drug_use_disorders,35
Azerbaijan,2014,Road_injuries,748
Azerbaijan,2014,Maternal_disorders,37
Azerbaijan,2014,Alcohol_use_disorders,207
Azerbaijan,2014,Diarrheal,140
Azerbaijan,2014,Nutritional_deficiencies,33
Azerbaijan,2014,Self.harm,387
Azerbaijan,2014,Diabetes_mellitus,1881
Azerbaijan,2014,Poisonings,84
Azerbaijan,2014,Cardiovascular,41339
Azerbaijan,2014,Kidney_disease,1330
Azerbaijan,2014,Respiratory_diseases,1933
Azerbaijan,2014,Liver_diseases,2916
Azerbaijan,2014,Digestive_diseases,3720
Azerbaijan,2014,Alzheimer_disease,881
Azerbaijan,2014,Parkinson_disease,344
Azerbaijan,2015,Meningitis,69
Azerbaijan,2015,Neoplasms,10853
Azerbaijan,2015,Malaria,0
Azerbaijan,2015,Drowning,317
Azerbaijan,2015,Interpersonal_violence,364
Azerbaijan,2015,HIV,30
Azerbaijan,2015,Drug_use_disorders,34
Azerbaijan,2015,Road_injuries,776
Azerbaijan,2015,Maternal_disorders,36
Azerbaijan,2015,Alcohol_use_disorders,208
Azerbaijan,2015,Diarrheal,136
Azerbaijan,2015,Nutritional_deficiencies,31
Azerbaijan,2015,Self.harm,376
Azerbaijan,2015,Diabetes_mellitus,1929
Azerbaijan,2015,Poisonings,83
Azerbaijan,2015,Cardiovascular,41528
Azerbaijan,2015,Kidney_disease,1337
Azerbaijan,2015,Respiratory_diseases,1952
Azerbaijan,2015,Liver_diseases,2945
Azerbaijan,2015,Digestive_diseases,3751
Azerbaijan,2015,Alzheimer_disease,889
Azerbaijan,2015,Parkinson_disease,346
Azerbaijan,2016,Meningitis,67
Azerbaijan,2016,Neoplasms,11155
Azerbaijan,2016,Malaria,0
Azerbaijan,2016,Drowning,311
Azerbaijan,2016,Interpersonal_violence,361
Azerbaijan,2016,HIV,32
Azerbaijan,2016,Drug_use_disorders,35
Azerbaijan,2016,Road_injuries,766
Azerbaijan,2016,Maternal_disorders,34
Azerbaijan,2016,Alcohol_use_disorders,209
Azerbaijan,2016,Diarrheal,133
Azerbaijan,2016,Nutritional_deficiencies,30
Azerbaijan,2016,Self.harm,368
Azerbaijan,2016,Diabetes_mellitus,2000
Azerbaijan,2016,Poisonings,82
Azerbaijan,2016,Cardiovascular,42389
Azerbaijan,2016,Kidney_disease,1360
Azerbaijan,2016,Respiratory_diseases,2001
Azerbaijan,2016,Liver_diseases,3012
Azerbaijan,2016,Digestive_diseases,3830
Azerbaijan,2016,Alzheimer_disease,906
Azerbaijan,2016,Parkinson_disease,356
Azerbaijan,2017,Meningitis,65
Azerbaijan,2017,Neoplasms,11501
Azerbaijan,2017,Malaria,0
Azerbaijan,2017,Drowning,311
Azerbaijan,2017,Interpersonal_violence,364
Azerbaijan,2017,HIV,33
Azerbaijan,2017,Drug_use_disorders,36
Azerbaijan,2017,Road_injuries,775
Azerbaijan,2017,Maternal_disorders,33
Azerbaijan,2017,Alcohol_use_disorders,213
Azerbaijan,2017,Diarrheal,127
Azerbaijan,2017,Nutritional_deficiencies,30
Azerbaijan,2017,Self.harm,369
Azerbaijan,2017,Diabetes_mellitus,2073
Azerbaijan,2017,Poisonings,83
Azerbaijan,2017,Cardiovascular,43086
Azerbaijan,2017,Kidney_disease,1381
Azerbaijan,2017,Respiratory_diseases,2038
Azerbaijan,2017,Liver_diseases,3073
Azerbaijan,2017,Digestive_diseases,3900
Azerbaijan,2017,Alzheimer_disease,907
Azerbaijan,2017,Parkinson_disease,360
Azerbaijan,2018,Meningitis,63
Azerbaijan,2018,Neoplasms,11626
Azerbaijan,2018,Malaria,0
Azerbaijan,2018,Drowning,313
Azerbaijan,2018,Interpersonal_violence,370
Azerbaijan,2018,HIV,35
